Chocolate Marquise,Dessert,With Six Layered Chocolate + Hazelnut Mousse + Dacquoise,24,40
Old Fashion Tiramisu,Dessert,With Coffee Infused Lady Fingers + Mascarpone,22,40
Jackfruit Tart Tatin,Dessert,With Frangipani + Butter Pecan Ice Cream,22,40
Pepsi,Fizzy Drinks,(No description),10,50
7up,Fizzy Drinks,(No description),10,50
Soda,Fizzy Drinks,(No description),10,50
Apple,Juices,(No description),10,50
Orange,Juices,(No description),10,50
Mango,Juices,(No description),10,50
Teh Tarik,Tea,(No description),8,50
Iced Tea,Tea,(No description),8,50
Jasmine Green Tea,Tea,(No description),8,50
Kopi,Coffee,(No description),8,50
Hot Chocolate,Coffee,(No description),8,50
Iced Coffee,Coffee,(No description),10,50
